#This blocklist helps Pi-hole's admin restrict access to Google and its domains.
#Last updated: 06-06-2020
# Google Android
0.0.0.0 1-market.android.com
0.0.0.0 a.android.com
0.0.0.0 a17-250-248-101.android.com
0.0.0.0 accessories.android.com
0.0.0.0 accounts.partner.android.com
0.0.0.0 android-review.googlesource.com
0.0.0.0 android-safebrowsing.google.com
0.0.0.0 android.clients.google.com
0.0.0.0 android.com
0.0.0.0 android.googleapis.com
0.0.0.0 attest.android.com
0.0.0.0 b.android.com
0.0.0.0 bluetooth.android.com
0.0.0.0 cctldtest.android.com
0.0.0.0 ci.android.com
0.0.0.0 connectivitycheck.android.com
0.0.0.0 d.android.com
0.0.0.0 dev.android.com
0.0.0.0 developer.android.com
0.0.0.0 developers.android.com
0.0.0.0 email.android.com
0.0.0.0 m.android.com
0.0.0.0 market.android.com
0.0.0.0 messages.android.com
0.0.0.0 nfc.android.com
0.0.0.0 partner.android.com
0.0.0.0 partner.source.android.com
0.0.0.0 r.android.com
0.0.0.0 review.source.android.com
0.0.0.0 s.android.com
0.0.0.0 schemas.android.com
0.0.0.0 source.android.com
0.0.0.0 time.android.com
0.0.0.0 tools.android.com
0.0.0.0 wear.android.com
0.0.0.0 www.android.com
