#This blocklist helps Pi-hole's admin restrict access to Google and its domains.
#Last updated: 31-08-2020
#General Sites.
0.0.0.0 00hrf5vjtk.com
0.0.0.0 01seifw7uv.com
0.0.0.0 08jjhe3a9g.com
0.0.0.0 098zvqavz8.com
0.0.0.0 0a9v377tsx.com
0.0.0.0 0dscgyp5vm.com
0.0.0.0 0emm.com
0.0.0.0 0emn.com
0.0.0.0 0enm.com
0.0.0.0 0f7tzjkso5.com
0.0.0.0 0fmm.com
0.0.0.0 0m66lx69dx.com
0.0.0.0 0mme.com
0.0.0.0 0pvm.com
0.0.0.0 0s3xa3gr4q.com
0.0.0.0 0zxi117b08.com
0.0.0.0 1.bp.blogspot.com
0.0.0.0 10.client-channel.google.com
0.0.0.0 11.client-channel.google.com
0.0.0.0 12.client-channel.google.com
0.0.0.0 16.client-channel.google.com
0.0.0.0 17.client-channel.google.com
0.0.0.0 1bgo9ev2in.com
0.0.0.0 1cpkcqvrsk.com
0.0.0.0 1e100.net
0.0.0.0 1emn.com
0.0.0.0 1enm.com
0.0.0.0 1g53n3gtdo.com
0.0.0.0 1jz9uw9vrl.com
0.0.0.0 1knyhc2mq8.com
0.0.0.0 1nhh48ekjd.com
0.0.0.0 1rutcxy19b.com
0.0.0.0 1vpnyj5gkn.com
0.0.0.0 2.bp.blogspot.com
0.0.0.0 22.client-channel.google.com
0.0.0.0 23.client-channel.google.com
0.0.0.0 23ig4j2yzb.com
0.0.0.0 24.drive.google.com
0.0.0.0 247q4q8fna.com
0.0.0.0 2enm.com
0.0.0.0 2nn7sayqo0.com
0.0.0.0 2rkkem2jzi.com
0.0.0.0 2wdg2ze0er.com
0.0.0.0 2x7b7y9uwu.com
0.0.0.0 2y3way9h8k.com
0.0.0.0 2ya6kuimdy.com
0.0.0.0 2ypojir4og.com
0.0.0.0 3.bp.blogspot.com
0.0.0.0 31.google.com
0.0.0.0 31bu917vfo.com
0.0.0.0 31eua0ivgr.com
0.0.0.0 32xzuwjnth.com
0.0.0.0 368jlgsolk.com
0.0.0.0 3984.drive.google.com
0.0.0.0 3d6y5bf67x.com
0.0.0.0 3enm.com
0.0.0.0 3ils3ivpoh.com
0.0.0.0 3jhuz7q5hb.com
0.0.0.0 3thb8ok5af.com
0.0.0.0 3tknt0awo0.com
0.0.0.0 3xtt813uc2.com
0.0.0.0 4.bp.blogspot.com
0.0.0.0 42176.drive.google.com
0.0.0.0 4420nylp5r.com
0.0.0.0 4423t9t0pb.com
0.0.0.0 44xmt.drive.google.com
0.0.0.0 4666.ch
0.0.0.0 48whxkj6t2.com
0.0.0.0 4a6fvpiffz.com
0.0.0.0 4bbr524fvh.com
0.0.0.0 4j9ksemv1q.com
0.0.0.0 4ksttp3ec0.com
0.0.0.0 4m5bxp2cng.com
0.0.0.0 4mv4y701kf.com
0.0.0.0 4ow0gor10n.com
0.0.0.0 4s0nu814mc.com
0.0.0.0 4u74fojwgn.com
0.0.0.0 527.drive.google.com
0.0.0.0 57gvampda8.com
0.0.0.0 5b1hpsd6d7.com
0.0.0.0 5cj7dtuso3.com
0.0.0.0 5f3kqa78zh.com
0.0.0.0 5maniul0me.com
0.0.0.0 5mpqvdddy7.com
0.0.0.0 5qp3wrfhys.com
0.0.0.0 65nijzgbc3.com
0.0.0.0 6663z5w2js.com
0.0.0.0 67o0mukg3l.com
0.0.0.0 67t3unjwqk.com
0.0.0.0 6aourt1qvb.com
0.0.0.0 6b56yhswtu.com
0.0.0.0 6d13sjnjek.com
0.0.0.0 6gvm.com
0.0.0.0 6jmxpk7opq.com
0.0.0.0 6knh2pifsy.com
0.0.0.0 6llbzgr3o7.com
0.0.0.0 6ydo0exuuy.com
0.0.0.0 6zy9yqe1ew.com
0.0.0.0 7.client-channel.google.com
0.0.0.0 72gka5xp5e.com
0.0.0.0 74lyfca56o.com
0.0.0.0 76qwf7f5bv.com
0.0.0.0 79spd7me01.com
0.0.0.0 7e6isz0i8e.com
